-1,,,,,,,Y
43,Abaet,,,ABJ,Abaet,Brazil,N
44,Alberta Citylink,,,ABK,ALBERTA CITYLINK,Canada,N
45,APSA Colombia,,,ABO,AEROEXPRESO,Colombia,N
46,Aerovias Bueno,,,ABU,AEROBUENO,Colombia,N
47,Aerocenter,,,ACR, Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N
48,Antrak Air,,04,ABV,ANTRAK,Ghana,N
49,Airborne Express,,GB,ABX,ABEX,United States,N
50,ABX Air,,GB,ABX,ABEX,United States,N
51,ATA Brasil,,,ABZ,ATA-BRAZIL,Brazil,N
52,Avcard Services,,,ACC,,United Kingdom,N
53,Academy Airlines,,,ACD,ACADEMY,United States,N
54,Aero Comondu,,,ACO,AERO COMONDU,Mexico,N
55,Astral Aviation,,8V,ACP,ASTRAL CARGO,Kenya,Y
56,Air Cess,,,ACS,,Liberia,N
57,Air Aurora,,,AAI,BOREALIS,United States,N
58,Air Cargo Transportation System,,,ACU,AFRISPIRIT,Kenya,N
59,Air Charter Service,,,ACV,,United Kingdom,N
60,Aero Asia International,,E4,RSO,AERO ASIA,Pakistan,N
61,Air Charters,,,ACX,PARAIR,Canada,N
62,Air Togo,,YT,TGA,AIR TOGO,Togo,N
63,Air Somalia,,,RSM,AIR SOMALIA,Somali Republic,N
64,Atlas Cargo Lines,,,ACY,ATLAS CARGOLINES,Morocco,N
65,Airservices Australia,,,ADA,AUSCAL,Australia,N
66,Advance Leasing Company,,4G,,,United States,N
67,Aztec Worldwide Airlines,,7A,,,United States,N
68,Air Tindi,,8T,,,Canadian Territories,Y
69,Antonov Airlines,,,ADB,ANTONOV BUREAU,Ukraine,N
70,Air Atlantic Dominicana,,,ADC,ATLAN-DOMINICAN,Dominican Republic,N
71,Advanced Air Co.,,,ADD,,Japan,N
72,Ada Air,,ZY,ADE,ADA AIR,Albania,Y
73,Aerea Flying Training Organization,,,ADG,AEREA TRAINING,Spain,N
74,Audeli Air,,,ADI,AUDELI,Spain,N
75,Abicar,,,ADJ,ABICAR,Ivory Coast,N
76,ADC Airlines,,Z7,ADK,ADCO,Nigeria,N
77,Aero Dynamics,,,ADL,COTSWOLD,United Kingdom,N
78,Aerolineas Dominicanas,,,ADM,DOMINAIR,Dominican Republic,N
79,Aerodienst GmbH,,,ADN,AERODIENST,Germany,N
80,Aerodiplomatic,,,ADP,AERODIPLOMATIC,Mexico,N
81,Aerodyne,,,ADY,AERODYNE,United States,N
82,Avion Taxi,,,ADQ,AIR DATA,Canada,N
83,Adria Airways,,JP,ADR,ADRIA,Slovenia,Y
84,Aviones de Sonora,,,ADS,SONORAV,Mexico,N
85,Air Dorval,,,ADT,AIR DORVAL,Canada,N
86,Airdeal Oy,,,ADU,AIRDEAL,Finland,N
87,Advance Air Charters,,,ADV,ADVANCE,Canada,N
88,Air Andaman,,,ADW,AIR ANDAMAN,Thailand,N
89,Anderson Aviation,,,ADX,ANDAX,United States,N
90,Air Europa,,UX,AEA,EUROPA,Spain,Y
91,Air Southwest Ltd.,,,ASW,AIRSOUTHWEST,Canada,N
92,Air Special,,,ASX,AIRSPEC,Czech Republic,N
93,Aero Benin,,EM,AEB,AEROBEN,Benin,Y
94,Aerocesar,,,AEC, Aerovias Del Cesar,AEROCESAR,N
95,Aerotrans Airlines,,,AED,,Russia,N
96,Aegean Airlines,,A3,AEE,AEGEAN,Greece,Y
97,Aerofumigaciones Sam,,,AEG,FUMIGACIONES SAM,Chile,N
98,Aeroexpreso Interamericano,,,AEI,INTERAM,Colombia,N
99,Air Express,,,AEJ,KHAKI EXPRESS,Tanzania,N
100,Aerocon,,,AEK,AEROCON,Bolivia,N
101,Aero Madrid,,,AEM,AEROMADRID,Spain,N
102,Aeroenlaces Nacionales,,,AEN,,Mexico,N
103,Aeroservicios Ejecutivos Del Occidente,,,AEO,AERO OCCIDENTE,Mexico,N
104,Aerotec,,,AEP,AEROTEC,Spain,N
105,Air Atlantique,,KI,AAG,ATLANTIC,United Kingdom,N
106,Air Europe,,PE,AEL,AIR EUROPE,Italy,Y
107,Air Alma,,,AAJ,AIR ALMA,Canada,N
108,Air Express,,,AEQ,LUNA,Sweden,N
109,Alaska Central Express,,KO,AER,ACE AIR,United States,Y
110,ACES Colombia,,,AES,ACES,Colombia,Y
111,Aeronautical Radio of Thailand,,,AET,AEROTHAI,Thailand,N
112,Astraeus,,5W,AEU,FLYSTAR,United Kingdom,Y
113,Aeroventas,,,AEV,AEROVENTAS,Mexico,N
114,Aerosvit Airlines,,VV,AEW,AEROSVIT,Ukraine,Y
115,Airway Express,,,AEX,AVCO,United States,N
116,Air Italy,,I9,AEY,AIR ITALY,Italy,Y
117,Aerial Transit Company,,,AEZ,AERIAL TRANZ,United States,N
118,Alfa Air,,,AFA,BLUE ALFA,Czech Republic,N
119,American Falcon,,WK,AFB,AMERICAN FALCON,Argentina,N
120,Alliance Airlines,,QQ,UTY,UNITY,Australia,Y
121,Air Universal,,,UVS,UNI-LEONE,Sierra Leone,N
122,Auvia Air,,,UVT,AUVIA,Indonesia,N
123,African West Air,,,AFC,AFRICAN WEST,Senegal,N
124,Airfast Indonesia,,,AFE,AIRFAST,Indonesia,N
125,Ariana Afghan Airlines,,FG,AFG,ARIANA,Afghanistan,Y
126,Air Fecteau,,,AFH,FECTO,Canada,N
127,Africaone,,,AFI,AFRICAWORLD,Uganda,N
128,Alliance,,,AFJ,JAMBO,Uganda,N
129,Africa Air Links,,,AFK,AFRICA LINKS,Sierra Leone,N
130,Aeroflot Russian Airlines,,SU,AFL,AEROFLOT,Russia,Y
131,Aero Empresa Mexicana,,,AFO,AERO EMPRESA,Mexico,N
132,Air Bosna,,JA,BON,AIR BOSNA,Bosnia and Herzegovina,Y
133,Air Bravo,,,BRF,AIR BRAVO,Uganda,N
134,Air Brasd'or,,,BRL,BRASD'OR,Canada,N
135,Air 500,,,BRM,BOOMERANG,Canada,N
136,Alba Servizi Aerotrasporti,,,AFQ,ALBA,Italy,N
137,Air France,,AF,AFR,AIRFRANS,France,Y
138,Air Partner,,,ACG,AIR PARTNER,United Kingdom,N
139,Air Caledonie International,,SB,ACI,AIRCALIN,France,Y
140,Air Caledonia,,,ACM,WEST CAL,Canada,N
141,Air Guam,,,AGM,AIR GUAM,United States,N
142,Air Gabon,,GN,AGN,GOLF NOVEMBER,Gabon,N
143,Air Data,,,AFS,,United Kingdom,N
144,Air Afrique Vacancies,,,AFV,AFRIQUE VACANCE,Ivory Coast,N
145,Air Cargo America,,,MVM,PEGASUS,United States,N
146,Air Salone,,2O,,,Sierra Leone,Y
147,Air-Angol,,,NGO,AIR ANGOL,Angola,N
148,Air Nigeria,,,NGP,REGAL EAGLE,Nigeria,N
149,Air Cargo Carriers,,2Q,SNC,NIGHT CARGO,United States,Y
150,Air Samarkand,,,SND,ARSAM,Uzbekistan,N
151,Air Senegal International,,V7,SNG,AIR SENEGAL,Senegal,N
152,Air Sandy,,,SNY,AIR SANDY,Canada,N
153,Air Namibia,,SW,NMB,NAMIBIA,Namibia,Y
154,Air Intersalonika,,,NSK,INTERSALONIKA,Greece,N
155,Air Anatolia,,,NTL,AIR ANATOLIA,Turkey,N
156,Air Saigon,,,SGA,AIR SAIGON,Vietnam,N
157,Afrique Regional Airways,,,AFW,AFRAIR,Ivory Coast,N
158,Airfreight Express,,,AFX, ,United Kingdom,N
159,Africa Chartered Services,,,AFY,AFRICA CHARTERED,Nigeria,N
160,Africa Freight Services,,,AFZ,AFREIGHT,Zambia,N
161,Aeronaves Del Centro,,,AGA,,Venezuela,N
162,Air Service Gabon,,G8,AGB,,Gabon,N
163,Arab Agricultural Aviation Company,,,AGC,AGRICO,Egypt,N
164,Atlantic Gulf Airlines,,,AGF,ATLANTIC GULF,United States,N
165,Aerolitoral,,5D,SLI,COSTERA,Mexico,Y
166,Algoma Airways,,,AGG,ALGOMA,Canada,N
167,Altagna,,,AGH,ALTAGNA,France,N
168,Angola Air Charter,,,AGO,ANGOLA CHARTER,Angola,N
169,Angola Air Charter,,,AGO,ANGOLA CHARTER,Angola,N
170,AERFI Group,,,AGP,AIR TARA,Ireland,N
171,Aerogala,,,AGQ,GALASERVICE,Chile,N
172,Amadeus Global Travel Distribution,,1A,AGT,AMADEUS,Spain,N
173,Angara Airlines,,,AGU,SARMA,Russia,N
174,Air Glaciers,,7T,AGV,AIR GLACIERS,Switzerland,Y
175,Aero Gambia,,,AGW,AERO GAMBIA,Gambia,N
176,Aviogenex,,,AGX,GENEX,Serbia,Y
177,Atlantic Coast Airlines,,,BLR,BLUE RIDGE,United States,N
178,Aero Barloz,,,BLZ,AEROLOZ,Mexico,N
179,Aeroper,,PL,PLI,Aeroperu,Peru,Y
180,Atlas Blue,,8A,BMM,ATLAS BLUE,Morocco,Y
181,Aero Banobras,,,BNB,AEROBANOBRAS,Mexico,N
182,Aero Flight Service,,,AGY,FLIGHT GROUP,United States,N
183,Agrolet-Mci,,,AGZ,AGROLET,Slovakia,N
184,Air Alpha Greenland,,GD,AHA,AIR ALPHA,Denmark,N
185,Azal Avia Cargo,,,AHC,AZALAVIACARGO,Azerbaijan,N
186,Airport Helicopter Basel,,,AHE, Muller & Co.,AIRPORT HELICOPTER,N
187,Aeroservices Corporate,,,CJE,BIRD JET,France,N
188,Aspen Helicopters,,,AHF,ASPEN,United States,N
189,Aerochago Airlines,,,AHG,AEROCHAGO,Dominican Republic,N
190,Airplanes Holdings,,,AHH,AIRHOLD,Ireland,N
191,Air Hong Kong,,LD,AHK,AIR HONG KONG,Hong Kong,N
192,Aerochiapas,,,AHP,AEROCHIAPAS,Mexico,N
193,Air Adriatic,,,AHR,ADRIATIC,Croatia,N
194,Air Viggi San Raffaele,,,AHS,AIRSAR,Italy,N
195,ABC Air Hungary,,,AHU,ABC HUNGARY,Hungary,N
196,Aeromist-Kharkiv,,HT,AHW,AEROMIST,Ukraine,N
197,Azerbaijan Airlines,,J2,AHY,AZAL,Azerbaijan,Y
198,Avies,,U3,AIA,AVIES,Estonia,Y
199,Airbus Industrie,,AP,AIB,AIRBUS INDUSTRIE,France,N
200,Alpine Air Chile,,,AIH,ALPINE CHILE,Chile,N
201,Air Integra,,,AII,INTEGRA,Canada,N
202,ABC Aerolineas,,,AIJ,ABC AEROLINEAS,Mexico,N
203,African Airlines International Limited,,,AIK,AFRICAN AIRLINES,Kenya,N
204,African International Airways,,,AIN,FLY CARGO,Swaziland,N
205,Alpine Air Express,,5A,AIP,ALPINE AIR,United States,N
206,Alicante Internacional Airlines,,,AIU,ALIA,Spain,N
207,Aba Air,,,ABP,BAIR,Czech Republic,N
208,Airblue,,ED,ABQ,PAKBLUE,Pakistan,Y
209,Airmark Aviation,,,THM,THAI AIRMARK,Thailand,N
210,Airlift International,,,AIR,AIRLIFT,United States,Y
211,Airest,,,AIT, ,Estonia,N
212,Air Baffin,,,BFF,AIR BAFFIN,Canada,N
213,Air Bandama,,,BDM,BANDAMA,Ivory Coast,N
214,Air Berlin,,AB,BER,AIR BERLIN,Germany,Y
215,Air Brousse,,,ABT,AIR BROUSSE,Canada,N
216,Air Contractors,,AG,ABR,CONTRACT,Ireland,N
217,Air Illinois,,,AIL,AIR ILLINOIS,United States,N
218,Air India Limited,,AI,AIC,AIRINDIA,India,Y
219,Air Inter Gabon,,,AIG, ,Gabon,N
220,Air Bourbon,,ZB,BUB,BOURBON,Reunion,Y
221,Air Atlanta Icelandic,,CC,ABD,ATLANTA,Iceland,Y
222,Air Inuit,,,AIE,AIR INUIT,Canada,N
223,Air Sureste,,,AIS,SURESTE,Spain,N
224,Air Srpska,,RB,SBK,Air Srpska,Bosnia and Herzegovina,N
225,Air Tahiti Nui,,TN,THT,TAHITI AIRLINES,France,Y
226,Airvias S/A Linhas Aereas,,,AIV,AIRVIAS,Brazil,N
227,Aero Services Executive,,W4,BES,BIRD EXPRESS,France,N
228,Atlantic Island Airways,,,AIW,TARTAN,Canada,N
229,Aircruising Australia,,,AIX,CRUISER,Australia,N
230,Aircrew Check and Training Australia,,,AIY,AIRCREW,Australia,N
231,Arkia Israel Airlines,,IZ,AIZ,ARKIA,Israel,Y
232,A J Services,,,AJA,AYJAY SERVICES,United Kingdom,N
233,Aero JBR,,,AJB,AERO JBR,Mexico,N
234,Aero Jet Express,,,AJE,JET EXPRESS,Mexico,N
235,Avia Consult Flugbetriebs,,,AJF,AVIACONSULT,Austria,N
236,Ameristar Jet Charter,,,AJI,AMERISTAR,United States,N
237,A2 Jet Leasing,,,AJJ,ATLANTIC JET,United States,N
238,Allied Air,,,AJK,BAMBI,Nigeria,N
239,Air Jamaica,,JM,AJM,JAMAICA,Jamaica,Y
240,Air One,,AP,ADH,HERON,Italy,Y
241,Air Sahara,,S2,RSH,SAHARA,India,Y
242,Air Malta,,KM,AMC,AIR MALTA,Malta,Y
243,Aeroejecutivo,,,AJO,AEROEXO,Mexico,N
244,Aero Jets Corporativos,,,AJP,AEROJETS,Mexico,N
245,Aeroejecutivos Colombia,,,AJS,AEROEJECUTIVOS,Colombia,N
246,Amerijet International,,M6,AJT,AMERIJET,United States,N
247,Air Jetsul,,,AJU,AIRJETSUL,Portugal,N
248,ANA & JP Express,,,AJV,AYJAY CARGO,Japan,N
249,Alpha Jet International,,,AJW,ALPHAJET,United States,N
250,Air Japan,,NQ,AJX,AIR JAPAN,Japan,Y
251,Ajet,,,AJY,AYJET,Cyprus,N
252,Air Korea Co. Ltd.,,,AKA,,Republic of Korea,Y
253,Air Livonia,,,LIV,LIVONIA,Estonia,N
254,Air BC,,,ABL,AIRCOACH,Canada,N
255,Air Fret Senegal,,,ABN, ,Senegal,N
256,Air Jamahiriya Company,,,LJA,AIR JAMAHIRIYA,Libya,N
257,Aktjubavia,,,AKB,KARAB,Kazakhstan,N
258,Arca Aerovias Colombianas Ltda.,,,AKC,ARCA,Colombia,N
259,Anikay Air Company,,,AKF,ANIKAY,Kyrgyzstan,N
260,Akhal,,,AKH,AKHAL,Turkmenistan,N
261,Aeromilenio,,,MNI,AEROMIL,Mexico,N
262,Aklak Air,,,AKK,AKLAK,Canada,N
263,Air Kiribati,,4A,AKL,,Kiribati,Y
264,Alkan Air,,,AKN,ALKAN AIR,Canada,N
265,Angkor Airways,,,AKW,ANGKORWAYS,Cambodia,N
266,Air Nippon Network Co. Ltd.,,EH,AKX,ALFA WING,Japan,N
267,AK Navigator LLC,,,AKZ,ABSOLUTE,Kazakhstan,N
268,Aero Albatros,,,ALB,ALBATROS,Mexico,N
269,Albion Aviation,,,ALD,ALBION,United Kingdom,N
270,Aeroalas Colombia,,,ALE,AEROALAS,Colombia,N
271,Allied Command Europe (Mobile Force),,,ALF,ACEFORCE,Belgium,N
272,Aerotaxis Albatros,,,BTS,AEROLINEAS ALBATROS,Mexico,N
273,American Flyers,,,FYS,AMERICAN FLYERS,United States,N
274,Aero Coach Aviation,,,DFA,AERO COACH,United States,N
275,Atlantic Southeast Airlines,,,CAA,Chandler,United States,N
276,ACM Air Charter,,,BVR,BAVARIAN,Germany,N
277,Air Logistics,,,ALG,AIRLOG,United States,N
278,Aerovallarta,,,ALL,VALLARTA,Mexico,N
279,Air ALM,,,ALM,ANTILLEAN,Netherlands Antilles,N
280,Air Lincoln,,,ALN,CHICAGO LINCOLN,United States,N
281,America West Airlines,,HP,AWE,CACTUS,United States,Y
282,Air Wisconsin,,ZW,AWI,AIR WISCONSIN,United States,Y
283,Aerotransporte de Carga Union,,,TNO,AEROUNION,Mexico,N
284,Aero Taxis Cessna,,,TND,TAXIS CESSNA,Mexico,N
285,Arizona Express Airlines,,,TMP,TEMPE,United States,N
286,Tatarstan Airlines,,U9,TAK,TATARSTAN,Russia,Y
287,Allegheny Commuter Airlines,,,ALO,ALLEGHENY,United States,Y
288,Alpliner AG,,,ALP,ALPINER,Switzerland,N
289,Altair Aviation (1986),,,ALQ,ALTAIR,Canada,N
290,Air Luxor STP,,,ALU,LUXORJET,Sao Tome and Principe,N
291,Alas de Venezuela,,,ALV,ALVEN,Venezuela,N
292,Alas Nacionales,,,ALW, S.A.,ALNACIONAL,N
293,Alyeska Air Service,,,ALY,ALYESKA,United States,N
294,Alta Flights (Charters) Ltd.,,,ALZ, ,Canada,N
295,Air Sunshine,,,RSI,AIR SUNSHINE,United States,Y
296,ATMA,,,AMA,ADIK,Kazakhstan,N
297,Aerolineas Medellin,,,AMD,AEROLINEAS MEDELLIN,Colombia,N
298,Ameriflight,,,AMF,AMFLIGHT,United States,N
299,Air Libert,,VD,,,France,Y
300,Air Lithuania,,TT,KLA,KAUNAS,Lithuania,N
301,Air Minas Linhas A,,,AMG,AIR MINAS,Brazil,N
302,Alan Mann Helicopters Ltd.,,,AMH,MANN,United Kingdom,N
303,Air Maldives,,,AMI,AIR MALDIVES,Maldives,N
304,Aviation Amos,,,AMJ,AVIATION AMOS,Canada,N
305,Amerer Air,,,AMK,AMER AIR,Austria,N
306,Air Malawi,,QM,AML,MALAWI,Malawi,Y
307,Aeroputul International Marculesti,,,AMM,AEROM,Moldova,N
308,Air Montenegro,,,AMN,MONTENEGRO,Montenegro,N
309,Air Montreal (Air Holdings Inc.),,,AMO,AIR MONTREAL,Canada,N
310,Aero Transporte S.A. (ATSA),,,AMP,ATSA,Peru,N
311,Aeromedicare Ltd.,,,AMQ,LIFELINE,United Kingdom,N
312,Air Sicilia,,BM,,,Italy,Y
313,Air Specialties Corporation,,,AMR,AIR AM,United States,N
314,Air Muskoka,,,AMS,AIR MUSKOKA,Canada,N
315,ATA Airlines,,,AMT,AMTRAN,United States,Y
316,Air Macau,,NX,AMU,AIR MACAO,Macao,Y
317,AMC Airlines,,,AMV,,Egypt,Y
318,Air Midwest,,ZV,AMW,AIR MIDWEST,United States,N
319,Air Seychelles,,HM,SEY,SEYCHELLES,Seychelles,Y
320,Air Sofia,,,SFB,AIR SOFIA,Bulgaria,N
321,AeroMéxico,,AM,AMX,AEROMEXICO,Mexico,Y
322,Air Ambar,,,AMY,AIR AMBAR,Dominican Republic,N
323,Amiya Airline,,,AMZ,AMIYA AIR,Nigeria,N
324,All Nippon Airways,ANA All Nippon Airways,NH,ANA,ALL NIPPON,Japan,Y
325,Air Navigation And Trading Co. Ltd.,ANA All Nippon Airways,,ANB,AIR NAV,United Kingdom,N
326,Anglo Cargo,ANA All Nippon Airways,,ANC,ANGLO,United Kingdom,N
327,Air Nostrum,ANA All Nippon Airways,YW,ANE,AIR NOSTRUM,Spain,Y
328,Air Niugini,ANA All Nippon Airways,PX,ANG,NUIGINI,Papua New Guinea,Y
329,Air Arabia,ANA All Nippon Airways,G9,ABY,ARABIA,United Arab Emirates,Y
330,Air Canada,ANA All Nippon Airways,AC,ACA,AIR CANADA,Canada,Y
331,Airport Bratsk,ANA All Nippon Airways,,BRP,AEROBRA,Russia,N
332,Air Wings,ANA All Nippon Airways,,BSB,ARBAS,Moldova,N
333,Air Baltic,ANA All Nippon Airways,BT,BTI,AIRBALTIC,Latvia,Y
334,Alajnihah for Air Transport,ANA All Nippon Airways,,ANH,ALAJNIHAH,Libya,N
335,Air Atlantic (Nig) Limited,ANA All Nippon Airways,,ANI,NIGALANTIC,Nigeria,N
336,Air Nippon,ANA All Nippon Airways,EL,ANK,ANK AIR,Japan,Y
337,Antares Airtransport,ANA All Nippon Airways,,ANM, Maintenance & Service GmbH,ANTARES,N
338,Airnorth,ANA All Nippon Airways,TL,ANO,TOPEND,Australia,Y
339,Aerol,ANA All Nippon Airways,,ANQ,ANTIOQUIA,Colombia,N
340,Andes Lineas Aereas,ANA All Nippon Airways,,ANS,AEROANDES,Argentina,N
341,Air North Charter - Canada,ANA All Nippon Airways,4N,ANT,AIR NORTH,Canada,Y
342,Air Nevada,ANA All Nippon Airways,,ANV,AIR NEVADA,United States,N
343,AOM French Airlines,ANA All Nippon Airways,IW,AOM,French Lines,France,N
344,Aviacion Del Noroeste,ANA All Nippon Airways,,ANW, S.A. de C.V.,AVINOR,N
345,Air New Zealand,ANA All Nippon Airways,NZ,ANZ,NEW ZEALAND,New Zealand,Y
346,Avia Jaynar,ANA All Nippon Airways,,SAP,TOBOL,Kazakhstan,N
347,Aero Servicios Empresariales,ANA All Nippon Airways,,EMS,SERVIEMPRESARIAL,Mexico,N
348,Alcon Servicios Aereos,ANA All Nippon Airways,,AOA, S.A. de C.V.,ALCON,N
349,AVCOM,ANA All Nippon Airways,J6,AOC,AERO AVCOM,Russia,N
350,Aero Vodochody,ANA All Nippon Airways,,AOD,AERO CZECH,Czech Republic,N
351,Air One Executive,ANA All Nippon Airways,,AOE, ,Italy,N
352,Atair Pty Ltd.,ANA All Nippon Airways,,AOF,ATAIR,South Africa,N
353,Aero VIP,ANA All Nippon Airways,2D,AOG,AVIP,Argentina,N
354,Aeromundo Ejecutivo,ANA All Nippon Airways,,MUN,AEROMUNDO,Mexico,N
355,Aerolinea Muri,ANA All Nippon Airways,,MUR,MURI,Mexico,N
356,Astoria,ANA All Nippon Airways,,AOI, Inc.,ASTORIA,N
357,Aero Rent JSC,ANA All Nippon Airways,,NRO,AEROMASTER,Russia,N
358,Aeronord-Grup,ANA All Nippon Airways,,NRP,AERONORD,Moldova,N
359,Aeroatlantico Colombia,ANA All Nippon Airways,,AOK,,Colombia,N
360,Angkor Airlines,ANA All Nippon Airways,,AOL,ANGKOR AIR,Cambodia,N
361,Aero Entreprise,ANA All Nippon Airways,,AON,AERO ENTERPRISE,France,N
362,As,ANA All Nippon Airways,,AOO, Opened Joint Stock Company,COMPANY AS,N
363,Aeropiloto,ANA All Nippon Airways,,AOP,AEROPILOTO,Portugal,N
364,Aeroenlaces Nacionales,ANA All Nippon Airways,,VIV,AEROENLACES,Mexico,N
365,Aerovis Airlines,ANA All Nippon Airways,,VIZ,AEROVIZ,Ukraine,N
366,Avjet International (FZE),ANA All Nippon Airways,,VJE,,United Arab Emirates,N
367,Aerovista Gulf Express,ANA All Nippon Airways,,VGF,VISTA GULF,United Arab Emirates,N
368,Air Vegas,ANA All Nippon Airways,6V,VGA,AIR VEGAS,United States,N
369,Almaver,ANA All Nippon Airways,,VER,ALMAVER,Mexico,N
370,Afro International Ent. Limited,ANA All Nippon Airways,,AOR,INTER-AFRO,Nigeria,N
371,Alitalia Express,ANA All Nippon Airways,XM,SMX,ALIEXPRESS,Italy,Y
372,Asia Overnight Express,ANA All Nippon Airways,OE,AOT,ASIA OVERNIGHT,Philippines,N
373,Air Tractor,ANA All Nippon Airways,,AOU,AIR TRACTOR,Croatia,N
374,Aero Vision,ANA All Nippon Airways,,AOV,AEROVISION,France,N
375,Aerotaxi Del Valle,ANA All Nippon Airways,,AOX,AEROVALLE,Colombia,N
376,Air Park Aviation Ltd.,ANA All Nippon Airways,,APA,CAN-AM,Canada,N
377,Airpac Airlines,ANA All Nippon Airways,,APC, Inc.,AIRPAC,N
378,Aeroservicios Monterrey,ANA All Nippon Airways,,SVM,SERVIMONTE,Mexico,N
379,Amapola Flyg AB,ANA All Nippon Airways,,APF,AMAPOLA,Sweden,N
380,Air People International,ANA All Nippon Airways,,APG,AIR PEOPLE,Thailand,N
381,Alpha Aviation,ANA All Nippon Airways,,APH, Inc.,AIRFLIGHT,N
382,ASA Pesada,ANA All Nippon Airways,,API, Lda.,ASA PESADA,N
383,Air Print,ANA All Nippon Airways,,APJ, S.A.,AIR PRINT,N
384,Atlantic Airlines,ANA All Nippon Airways,,BJK,BLACKJACK,United States,N
385,Aerotransporte Petrolero,ANA All Nippon Airways,,PET,AEROPETRO,Colombia,N
386,Aero Flight,ANA All Nippon Airways,GV,ARF,Aero Fox,Germany,Y
387,ACM Aviation,ANA All Nippon Airways,,BJT,BAY JET,United States,N
388,Aircompany Barcol,ANA All Nippon Airways,,BKL,BARCOL,Russia,N
389,All Charter Limited,ANA All Nippon Airways,,BLA,ALL CHARTER,United Kingdom,N
390,Appalachian Flying Service,ANA All Nippon Airways,,APL, Inc.,APPALACHIAN,N
391,Airpac,ANA All Nippon Airways,,APM, Inc.,ALASKA PACIFIC,N
392,Aeropro,ANA All Nippon Airways,,APO,AEROPRO,Canada,N
393,Aerolineas Pacifico Atlantico,ANA All Nippon Airways,,APP, S.A. (Apair),AEROPERLAS,N
394,Aspen Aviation,ANA All Nippon Airways,,APQ,ASPEN BASE,United States,N
395,Aeropuma,ANA All Nippon Airways,,APU, S.A.,AEROPUMA,N
396,Air Plan International,ANA All Nippon Airways,,APV,AIR PLAN,Democratic Republic of the Congo,N
397,Arrow Air,ANA All Nippon Airways,JW,APW,BIG A,United States,Y
398,Apex Air Cargo,ANA All Nippon Airways,,APX,PARCEL EXPRESS,United States,N
399,APA Internacional,ANA All Nippon Airways,,APY,APA INTERNACIONAL,Dominican Republic,N
400,Aeroatlas,ANA All Nippon Airways,,AQA, S.A.,ATCO,N
401,Aquila Air Ltd.,ANA All Nippon Airways,,AQL,AQUILA,Canada,N
402,Air Queensland,ANA All Nippon Airways,,AQN,BUSHAIR,Australia,N
403,Aluminum Company Of America,ANA All Nippon Airways,,AQO,ALCOA SHUTTLE,United States,N
